,Title,Genre,Premiere,Runtime,IMDB Score,Language,Month,Year,Is_english
0,Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese,8,2019,1
1,Dark Forces,Thriller,2020-08-21,81,2.6,Spanish,8,2020,0
2,The App,Science fiction/Drama,2019-12-26,79,2.6,Italian,12,2019,0
3,The Open House,Horror thriller,2018-01-19,94,3.2,English,1,2018,1
4,Kaali Khuhi,Mystery,2020-10-30,90,3.4,Hindi,10,2020,0
5,Drive,Action,2019-11-01,147,3.5,Hindi,11,2019,0
6,Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish,12,2020,0
7,The Last Days of American Crime,Heist film/Thriller,2020-06-05,149,3.7,English,6,2020,1
8,Paradox,Musical/Western/Fantasy,2018-03-23,73,3.9,English,3,2018,1
9,Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi,5,2021,0
10,Searching for Sheela,Documentary,2021-04-22,58,4.1,English,4,2021,1
11,The Call,Drama,2020-11-27,112,4.1,Korean,11,2020,0
12,Whipped,Romantic comedy,2020-09-18,97,4.1,Indonesian,9,2020,0
13,All Because of You,Action comedy,2020-10-01,101,4.2,Malay,10,2020,0
14,Mercy,Thriller,2016-11-22,90,4.2,English,11,2016,1
15,After the Raid,Documentary,2019-12-19,25,4.3,Spanish,12,2019,0
16,Ghost Stories,Horror anthology,2020-01-01,144,4.3,Hindi,1,2020,0
17,The Last Thing He Wanted,Political thriller,2020-02-21,115,4.3,English,2,2020,1
18,What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean,1,2021,0
19,Death Note,Horror thriller,2017-08-25,100,4.4,English,8,2017,1
20,"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English,9,2019,1
21,Secret Obsession,Thriller,2019-07-18,97,4.4,English,7,2019,1
22,Sextuplets,Comedy,2019-08-16,99,4.4,English,8,2019,1
23,The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi,2,2021,0
24,Thunder Force,Superhero-Comedy,2021-04-09,105,4.4,English,4,2021,1
25,Fatal Affair,Thriller,2020-07-16,89,4.5,English,7,2020,1
26,Just Say Yes,Romantic comedy,2021-04-02,97,4.5,Dutch,4,2021,0
27,Seriously Single,Comedy,2020-07-31,107,4.5,English,7,2020,1
28,The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French,2,2021,0
29,5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian,12,2018,0
30,After Maria,Documentary,2019-05-24,37,4.6,English/Spanish,5,2019,1
31,I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English,10,2016,1
32,Paris Is Us,Romance drama,2019-02-22,83,4.6,French,2,2019,0
33,Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese,12,2019,0
34,Rattlesnake,Horror,2019-10-25,85,4.6,English,10,2019,1
35,The Players,Comedy,2020-07-15,88,4.6,Italian,7,2020,0
